League,Week,Winner,Loser,Winner Pts,Loser Pts
BB5,2,MEDIAN,msbosway,,
BB5,2,MEDIAN,Fordo45,,
QuickDraft 1,2,ProfessorD,MEDIAN,,
QuickDraft 1,2,MEDIAN,koolaid403,,
QuickDraft 1,2,ConorDeLa,MEDIAN,,
QuickDraft 1,2,MEDIAN,WestCoastNonsense,,
QuickDraft 1,2,Frank1983,MEDIAN,,
QuickDraft 1,2,MEDIAN,aledo,,
QuickDraft 1,2,tford51,MEDIAN,,
QuickDraft 1,2,MEDIAN,theBandit216,,
Quickdraft 2,2,MEDIAN,ProfessorD,,
Quickdraft 2,2,MEDIAN,aledo,,
Quickdraft 2,2,ConorDeLa,MEDIAN,,
Quickdraft 2,2,theBandit216,MEDIAN,,
Quickdraft 2,2,tford51,MEDIAN,,
Quickdraft 2,2,koolaid403,MEDIAN,,
Quickdraft 2,2,MEDIAN,Frank1983,,
Quickdraft 2,2,MEDIAN,WestCoastNonsense,,
MainLeague,3,ChiJV,MEDIAN,,
MainLeague,3,gpeisert1,MEDIAN,,
MainLeague,3,MEDIAN,WestCoastNonsense,,
MainLeague,3,MEDIAN,ConorDeLa,,
MainLeague,3,Mschmoopie,MEDIAN,,
MainLeague,3,MEDIAN,theBandit216,,
MainLeague,3,tford51,MEDIAN,,
MainLeague,3,MEDIAN,ProfessorD,,
MainLeague,3,aledo,MEDIAN,,
MainLeague,3,plfinken,MEDIAN,,
MainLeague,3,MEDIAN,CoryPeisert,,
MainLeague,3,MEDIAN,koolaid403,,
BB1,3,ProfessorD,MEDIAN,,
BB1,3,gpeisert1,MEDIAN,,
BB1,3,MEDIAN,WestCoastNonsense,,
BB1,3,MEDIAN,theBandit216,,
BB1,3,MEDIAN,jnappy,,
BB1,3,Mschmoopie,MEDIAN,,
BB1,3,MEDIAN,koolaid403,,
BB1,3,MEDIAN,ConorDeLa,,
BB1,3,ChiJV,MEDIAN,,
BB1,3,tford51,MEDIAN,,
BB1,3,MEDIAN,plfinken,,
BB1,3,aledo,MEDIAN,,
BB2,3,ProfessorD,MEDIAN,,
BB2,3,jnappy,MEDIAN,,
BB2,3,MEDIAN,theBandit216,,
BB2,3,MEDIAN,WestCoastNonsense,,
BB2,3,MEDIAN,gpeisert1,,
BB2,3,MEDIAN,ConorDeLa,,
BB2,3,MEDIAN,koolaid403,,
BB2,3,Mschmoopie,MEDIAN,,
BB2,3,Deerslayer65,MEDIAN,,
BB2,3,tford51,MEDIAN,,
BB2,3,ChiJV,MEDIAN,,
BB2,3,MEDIAN,aledo,,
BB3,3,MEDIAN,ProfessorD,,
BB3,3,MEDIAN,tford51,,
BB3,3,MEDIAN,ConorDeLa,,
BB3,3,theBandit216,MEDIAN,,
BB3,3,WestCoastNonsense,MEDIAN,,
BB3,3,MEDIAN,jnappy,,
BB3,3,koolaid403,MEDIAN,,
BB3,3,MEDIAN,Mschmoopie,,
BB3,3,aledo,MEDIAN,,
BB3,3,Deerslayer65,MEDIAN,,
BB3,3,MEDIAN,gpeisert1,,
BB3,3,JeffMyers,MEDIAN,,
BB4,3,ProfessorD,MEDIAN,,
BB4,3,MEDIAN,gpeisert1,,
BB4,3,tford51,MEDIAN,,
